PMID ,PERSONS
PMID , 
19451168," Mark DePristo , Jared Maguire , Durbin , "
19497934," Yair Mazor , Lynne , William Frankel , Paul Ivanier , "
19435742, 
19401401," Marie-France Sagot , Christian Gautier , MIRI , Paulo , "
19468055," Kate Dreher , "
19468054," Dr Muneesh Tewari , R.G. , "
19420052, 
19389731," Donna Slonim , "
19401399," Francesca Mariani , Rachel Dresbeck , "
19417057," Takeshi Kawabata , Matras , Daron Standley , Peter Lackner , Vladimir Galatenko , Fabian Birzele , Gergely Csaba , Vorolign , Antoni Pis , Llabr , Francesc Rossell , Max Shatsky , Alexander Tuzikov , "
19398449," John Reinitz , Lachlan Dufton , "
19417058, 
19376825," Ben Good , Mark Wilkinson , "
19447790, 
None, 
19477975, 
19477976," Gustavo Stolovitzky , "
19477977, 
19477978," Thomas Gulish , Alfred P. Sloan , Ray , "
19477979, 
19477980," Misha Kapushesky , S.K. , A.F. , S.K. , "
19477981," John Wootton , M. T. F. , "
19477982," Alexander Schmidt , "
19477983, 
19477984," Ron Weiss , Priscilla Purnick , Weiss , "
19477985, 
19477986," Charles H. Langley , Rasmus Nielsen , Joshua Paul , Monty Slatkin , A.B. , Alfred P. Sloan , "
19477987," Edward Vitkin , "
None, 
19477989," Alfred P. Sloan , "
19477990," Richard , "
19477991," E.H. , Edmond J. Safra Bioinformatics , "
19477992," Franco Preparata , Crystal Kahn , Anna Ritz , "
19477993," Jo Gay , Charles H. Langley , "
19477994," Bruce Donald , Michael Mayhew , Alfred P. Sloan , "
19477995, 
19477996," Leonid Chindelevitch , Jon Kelner , Michael Schnall-Levin , John Hertz Foundation , "
19477997, 
19477998," A. Gutmanas , C. Arrowsmith , Shuaicheng Li , Guangyu Feng , Dr Ali Ghodsi , Dr Yang Shen , Dr Frank Balbach , Grant , Cheriton Scholarship , "
19477999," Steven Ludtke , Wen Jiang , "
19478000," Josue Samayoa , David Bernick , Craig Lowe , Bin Qian , David Baker , "
19478001," Amos Maritan , Thomas Blicher , Marie Curie , Cervelli , PRIN , "
19478002," Mr Abraham Heifets , Mr Satyam Merja , Maria Safi , Lilien , Bill , Melinda Gates , "
19478003, 
19478004, 
19478005," Gunnar Raetsch , Soeren Sonnenburg , Alexander Zien , Uwe Ohler , "
19478006," Geir Kjetil Sandve , Veronica Hinman , Alfred P. Sloan , "
19478007," L. E. Carvalho , C. E. Lawrence , "
19478008, 
19478009, 
19478010, 
19478011, 
19478012, 
None, 
19478014, 
19478015," David , "
19478016," M. Kamal , T. Mikkelsen , Zuk , M. Kellis , P. Kheradpour , E. Lander , M. Lin , K. Lindblad-Toh , M. Rasmussen , A. Stark , "
19478017," Benjamin Georgi , Katrin , Peter van den Elzen , Sergio Baranzini , de Aperfei , Pessoal , "
19478018, 
19478019," Martin Boeker , Holger Stenzhorn , Robert Hoehndorf , Alan Rector , "
19478020," David Hill , Helen Johnson , Mike Bada , L.H. , D.D. , "
19478021," Magnus Bordewich , Vincent Moulton , Charles Semple , Johannes Fischer , Alexander Auch , Hu , "
19478022," Ziheng Yang , "
19321735, 
19357101," Reidar Andreson , Paula Ann Kivistik , "
19357099," Jimmy Lin , Steven Salzberg , Arthur Delcher , Cole Trapnell , Ben Langmead , "
19318424, 
19376821," Stephen Robertson , BOOTStrep , "
19321736," Mouse , "
19304878," Fundacao , "
19307237," Ms. Deepti Karandur , Dr. Cindy Ly , "
19297347, 
19307240," Henning Schmidt , Detlev Bannasch , Jochen Supper , "
19346324," James W. Truman , Nicolas Gompel , Simone Fietz , Benjamin Schmidt , "
19307239, 
19223450," Morten Krogh , Josephine Leflaive , "
19179356, 
19176553," Alicia Oshlack , "
19218351," Maria Fedorova , Hai Zhu , George Casella , Merlise Clyde , Jon Lightner , Chris Martin , Mark Whitsitt , Bob Merrill , Jennifer Chung , Brian Zeka , John Nau , Danielle Dewar-Darch , Kent Vander Velden , Corey Yanofsky , Jean Peccoud , Mark Cooper , Tim Helentjaris , Chris Zinselmeier , Dave Selinger , "
19176548," Sven Nelander , "
19181683, 
19188191, 
19168912," Adam Woolfe , "
19244390," Martijn van der Werff , Marc Gerhard , Jens Fuchser , "
19176552, 
19098027, 
19168913," Nicolas Guex , Moretti , Laurent Falquet , Victor Jongeneel , David Goldstein , "
19151094, 
19158162," Magnus Isaksson , Liu Bie Ju Cha , Olle Engkvist Byggm , J.S. , "
19153134, 
19179357," David Martin , Marco Mariotti , R.G. , R.G. , A.K. , "
19151096," Stefan Jankowski , "
19176546," Ben MacArthur , Amin Mazloom , Ihor Lemischka , Kevin Xiao , Robert Lefkowitz , "
19147665," R. Samaga , J. Saez-Rodriguez , "
19147664," R. Salza , M. Fatoux , C. Blanchet , Institut Rh , "
19189978," Stuart Kim , Mike Layden , Ellie Heckscher , Chris Doe , Arnim Jenett , Gerry Rubin , Julie Simpson , Frank Midgley , Zongcai Ruan , Margaret Jefferies , "
19297348, 
19304875, 
19321733," Yang Zhang , Bong-Hyun Kim , "
19297350, 
19289448, 
19052061, 
19420069, 
19346323, 
19289445," Adam Phillippy , Geo Pertea , Ben Langmead , Kasper Hansen , Angela Brooks , Ali Mortazavi , Diane Trout , Ali Mortazavi , Brian Williams , Kenneth McCue , Lorian Schaeffer , Barbara Wold , "
19261720, 
19289444, 
19261719," Dr R. B. Hayes , Drs C. Berg , P. Prorok , Mr T. Riley , B. O'Brien , Drs B. Kopp , W. Shao , "
19151095," James Cuff , Steve Searle , Andreas Prlic , Benjamin Schuster-Bockler , "
19304876, 
19276151," Giovanni Parmigiani , Leslie Cope , Dan Naiman , Don Geman , "
19251773," Maria Schilstra , Mutanom , "
19744994," Welch , "
19744996," Qi Liu , Juan Cui , "
19633097," Dan Boutz , Insuk Lee , William Noble , Lukas Kall , Inderjit Dhillon , Prateek Jain , Raghu Meka , Martin Blom , Lee Thompson , Lilyana Mihalkova , Raymond Mooney , Welch , "
19696044, 
19656951," Ian Holmes , Manolis Kellis , "
19689959, 
19734151," M.T. , A.W. , "
19734155, 
19648141, 
19744993," Manjula Thimma , Ruth Lovering , Varsha Khodiyar , "
19736252, 
19689953," Michael Newton , "
19713416, 
19692554, 
19737799, 
19736251, 
19706745, 
19729372, 
19561018," E. Birney , M. Fritz , M. Schuster , K. Walter , Y. Zhang , "
19542148, 
19542156," Yoav Gilad , Marioni , "
19574287," Gregory Butler , Johannes Jaeger , David McMillen , Peter Swain , "
19620096," Dr Ashwini Patil , "
19654113," Eric Blossom , Steve Chervitz , Ed Erwin , Cyrus Harmon , Ehsan Tabari , David Nix , "
19687029, 
19684088, 
19717576, 
19700477," Luc V. de Zeeuw , Rob de Graaf , "
19578041, 
19578173, 
19620095, 
19633095," Anthony Maher , Derek Crockford , Magnus Åberg , Severine Zirah , Marc E Dumas , Anna Asplund , Erik Bj , Susanne Schwonbeck , Jens Lamerz , Andreas Petri , Kristian Almstrup , Matthias Schuster , Dimo Dietrich , Florian Eckhardt , Leena Peltonen , Huei-Yi Shen , Inga Prokopenko , Cecilia Lindgren , Samuli Ripatti , Erkki Raulo , Juha Muilu , Jan Eric Litton , "
19648142, 
19667081, 
19675096," Dr Zhenyu Xuan , Dr Richard McCombie , Dr Andrew Smith , Zheng Zhang , Dazhe Meng , Zach Frazier , "
19592395," R. Baldock , Lindsay , "
19671693," CoE , "
19605418," Roman Siddiqui , Vladimir Shelest , "
19654119," R.G. , "
19667082, 
19633096," Philippa Matthews , Thomas Kuntzen , Toshi Miura , Yaoyu Wang , Jenna Rychert , Zabrina Brumme , Chanson Brumme , Richard Harrigan , Meredith Skeels , "
19648138," Ehsan Nourbakhsh , Brooke Gardiner , "
19654116, 
19661241," Keith Baggerly , Kimberly Doheny , Elizabeth Pugh , Stephen Wilcox , Melinda Ziino , "
19570806," Andrew George , Peter Humburg , Ketil Malde , Scott Hazelhurst , Ketil Malde , "
19561016," Etienne Dervyn , Philippe Noirot , Franck Picard , "
19592393," Rafael Irizarry , Johns Hopkins , "
19605421," Jean-Philippe Vert , "
19574284," Chris Newbold , Gareth Maslen , Bill , "
19570807, 
19602525," PIQA , Y.F. , Y.F. , C.F. , "
19570805," Alan Williams , Bob Kuhn , Donna Karolchik , Jim Kent , Manuel Ares Jr , "
19628508," Scott Tebbutt , Thea VanRossum , "
19561335, 
19535535," Ben Bolstad , Simon Cawley , Jim Veitch , Cheng Li , H.B. , H.B. , "
19549630," James Bonfield , Andy Brown , Roger Pettett , Swift , Tony Cox , Klaus Maisinger , Tony Cox , Nava Whiteford , Clive Brown , "
19561020, 
19549631, 
